Episode	 Total Reward
0	-3.0367825201283845
1	-0.6613611590281211
2	-2.691550260162023
3	-4.827193352989432
4	-1.5960629156696664
5	-4.597616348062332
6	-1.529055581804904
7	-2.0690396379796376
8	-0.474452169277945
9	-5.155662269460214
10	-0.4213784254491197
11	-6.645417179490728
12	-0.47075365844078626
13	-3.0660463517963383
14	-1.226304599851499
15	-0.5446806687514026
16	-1.1903309397852642
17	-0.8280699409149525
18	-1.0780773873007863
19	-3.0969986694741536
20	-1.549904659477234
21	-5.6768719800683005
22	-8.193391613974141
23	-2.6228207448539544
24	-0.4688945368664955
25	-2.871543412716186
26	-0.97834977601169
27	-1.441439751870072
28	-2.8269397938884557
29	-1.114197953097647
30	-0.570044044380035
31	-1.173518235345719
32	-1.9102453901018652
33	-0.3473771427941565
34	-3.8125202538079392
35	-3.705245436709518
36	-0.8055697639945414
37	-2.320978325976072
38	-0.47997025063252546
39	-1.036874578627258
40	-1.3976225593717304
41	-1.561320922654788
42	-1.2850014535081093
43	-5.502732415448786
44	-1.0247990655243084
45	-2.6206510376578147
46	-1.0383061518536407
47	-1.2162875284290526
48	-0.5636218648074562
49	-4.572460806914963
50	-1.355262273793666
51	-5.936127597520918
52	-2.4488470602524597
53	-1.37548157594073
54	-1.0910732317501957
55	-2.2260993613585804
56	-2.121251485912514
57	-0.40201804630172977
58	-2.2271691227192725
59	-4.833772297587508
60	-1.5666912719627837
61	-1.9993372093019735
62	-0.47844543041779786
63	-1.278270507481594
64	-6.063889045731019
65	-1.0277138445446734
66	-2.921984302924715
67	-4.124016797024113
68	-0.38590045438288784
69	-0.7754555248521412
70	-1.379944893803681
71	-4.121417393801538
72	-0.46296246082769604
73	-2.504489337756887
74	-13.671766939628228
75	-3.30853431371341
76	-1.4848975754320675
77	-4.72609515968187
78	-1.6152585203284797
79	-0.3484832996640483
80	-0.5557678871984415
81	-2.6365116320165995
82	-4.437570783277702
83	-3.074536515258623
84	-1.0060698192995579
85	-1.7048752264216174
86	-3.0776488684413605
87	-1.6368289365524573
88	-6.039078690502668
89	-1.1881096411264864
90	-1.516415343935185
91	-0.5504342158896611
92	-2.425903745523994
93	-1.3002689095231579
94	-2.617976282325367
95	-1.834939753358936
96	-2.184146659988376
97	-4.200846265954561
98	-4.548891830699792
99	-0.8670166840168377
100	-1.0669681966398117
101	-0.8372654331294201
102	-0.6978886137086695
103	-0.5232215130881874
104	-8.899899182681093
105	-0.9860205354583381
106	-0.8593738089091596
107	-15.353756786039002
108	-7.2527828421201495
109	-0.824930906557797
110	-5.301376359974317
111	-3.684318217013103
112	-4.936983986130773
113	-0.3284559211435905
114	-1.2252518081918322
115	-4.480209524757495
116	-1.3094796284550518
117	-1.495162682335959
118	-5.301146731045052
119	-2.5981847670879925
120	-1.7296559229024777
121	-8.499003846617928
122	-1.900529737466116
123	-0.6019626028917338
124	-2.5966141462318766
125	-2.455769000962418
126	-1.7517293490586061
127	-3.5920215699513456
128	-2.598247715949988
129	-3.895349329834403
130	-0.17280004856349326
131	-1.7122758558102174
132	-3.231301272191022
133	-0.2966214269864321
134	-3.1700065031231093
135	-1.1026296942133178
136	-1.1813473264833239
137	-1.3148649818038516
138	-2.5060843331620197
139	-0.5751293621905658
140	-2.464795768949257
141	-0.9045282780512741
142	-2.785124032759958
143	-1.00788641879278
144	-1.6016539578638462
145	-2.2295466045139247
146	-3.172289024060988
147	-1.8677677953357419
148	-0.9952406777276563
149	-2.2697648078116552
150	-1.2129952655856608
151	-1.97569593495905
152	-0.9290764351615093
153	-0.6578866400217661
154	-6.119602903147073
155	-5.924910372255695
156	-4.400762583580091
157	-0.7749199737076167
158	-5.868304319559383
159	-1.3498688810981152
160	-1.3823936840622366
161	-1.5309330247223205
162	-4.180667987319209
163	-0.6423957114965335
164	-1.7585874858596149
165	-3.512271213302264
166	-0.2938192478449289
167	-0.38911348054952594
168	-0.9212256783529197
169	-0.917809626165091
170	-1.4099741453860424
171	-1.3545236318036746
172	-0.6682643126831056
173	-1.7256701770857479
174	-0.7881356731421676
175	-1.2095322019103643
176	-1.3743375291865387
177	-0.9690491486246314
178	-3.7582545803712133
179	-5.191916407914747
180	-0.6808547483853591
181	-5.010109655721388
182	-3.1405012056973427
183	-3.6012078918368484
184	-5.204727607841262
185	-2.259405885388504
186	-1.308129462575403
187	-1.2346850279404544
188	-0.5793247749355824
189	-3.6588514779793773
190	-0.928252926679852
191	-5.00327030082685
192	-1.8854818688529313
193	-0.8797502679404146
194	-2.3292848812142704
195	-1.1762011298398285
196	-1.409735457688143
197	-3.0403334660301233
198	-0.9200473753620896
199	-7.097813318600159
200	-2.130335472513901
201	-1.1583783804052667
202	-1.611825265162599
203	-1.8075146854771338
204	-1.5802602408044875
205	-0.9822096297344504
206	-10.63855826544266
207	-4.239039919648816
208	-1.5957373056088568
209	-1.5012275508943227
210	-0.7305881994572764
211	-0.629684486751452
212	-6.903540066454825
213	-0.40703623449668963
214	-3.3371623949161044
215	-1.2833106459278518
216	-0.5739490322515322
217	-6.037922884535215
218	-3.147126736475176
219	-1.1784158751267195
220	-1.598284332061933
221	-1.08577364807346
222	-0.9807093282446274
223	-1.1043849059754096
224	-2.4734919252580125
225	-3.8207735322577094
226	-5.945769148011314
227	-4.188255305825097
228	-1.1905594912581199
229	-1.70562469110692
230	-7.027296668704373
231	-0.9751834695727987
232	-2.291882884078919
233	-0.49349891687118463
234	-6.658588527687484
235	-3.0623060507621247
236	-3.805409331475275
